City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.33,50.5,78,57,18.72,NZ,1594358844
Santa Isabel Rio Negro,-0.41,-65.02,72.41,96,47,1.21,BR,1594358769
Arraial do Cabo,-22.97,-42.03,69.75,71,21,12.84,BR,1594358844
Rikitea,-23.12,-134.97,66.94,71,20,20.74,PF,1594358396
Maumere,-8.62,122.21,82.78,62,57,2.42,ID,1594358845
Fortuna,40.6,-124.16,57.0,100,90,4.7,US,1594358846
Beloha,-25.17,45.05,64.11,56,0,9.57,MG,1594358846
Iskateley,67.68,53.15,81.84,60,0,14.88,RU,1594358846
Mahon,39.89,4.27,71.6,88,80,8.05,ES,1594358847
Chokurdakh,70.63,147.92,67.39,47,100,10.16,RU,1594358847
Batemans Bay,-35.72,150.18,66.99,48,73,4.43,AU,1594358848
Honiara,-9.43,159.95,86.0,74,75,9.17,SB,1594358848
Ténenkou,14.46,-4.92,83.88,58,55,14.07,ML,1594358848
Ahipara,-35.17,173.17,54.7,71,5,6.2,NZ,1594358849
Chui,-33.7,-53.46,42.89,90,0,7.94,UY,1594358849
Samarai,-10.62,150.67,78.64,87,83,19.48,PG,1594358584
Rawson,-43.3,-65.1,38.61,76,60,14.52,AR,1594358850
Khatanga,71.97,102.5,63.3,46,0,19.37,RU,1594358850
Paamiut,61.99,-49.67,42.93,97,100,24.7,GL,1594358851
Vestmannaeyjar,63.44,-20.27,50.74,80,75,19.6,IS,1594358782
New Norfolk,-42.78,147.06,46.99,86,100,0.31,AU,1594358852
Vila Velha,-20.33,-40.29,71.6,78,44,8.05,BR,1594358853
Punta Arenas,-53.15,-70.92,33.8,86,99,9.17,CL,1594358404
Buchanan,5.88,-10.05,76.32,84,100,10.25,LR,1594358675
Bonavista,48.65,-53.11,50.0,80,100,1.99,CA,1594358670
Eufaula,31.89,-85.15,78.01,94,2,3.65,US,1594358739
Tromsø,69.65,18.96,48.2,87,20,14.99,NO,1594358758
Upernavik,72.79,-56.15,40.8,82,100,4.61,GL,1594358441
Ilulissat,69.22,-51.1,42.8,87,100,20.8,GL,1594358856
Hobart,-42.88,147.33,48.2,81,100,8.05,AU,1594358409
Hong Kong,22.29,114.16,89.01,69,92,14.9,HK,1594358607
Yumen,40.28,97.2,83.28,15,32,6.91,CN,1594358857
Atuona,-9.8,-139.03,79.18,80,41,19.22,PF,1594358785
Dhandhuka,22.37,71.98,91.06,60,74,17.38,IN,1594358858
Águas Belas,-9.11,-37.12,66.09,97,62,2.62,BR,1594358610
Hualmay,-11.1,-77.61,59.99,83,83,10.25,PE,1594358859
Mataura,-46.19,168.86,45.05,91,92,5.28,NZ,1594358425
Chapais,49.78,-74.85,68.0,77,75,3.36,CA,1594358770
Barrow,71.29,-156.79,35.6,80,90,10.29,US,1594358229
Poronaysk,49.22,143.12,60.22,85,78,7.7,RU,1594358860
Kjøllefjord,70.95,27.35,44.6,93,75,10.29,NO,1594358861
Thompson,55.74,-97.86,60.8,87,90,5.82,CA,1594358672
Champerico,14.3,-91.92,81.57,77,15,3.06,GT,1594358862
Ushuaia,-54.8,-68.3,33.8,69,40,9.17,AR,1594358447
Torbay,47.67,-52.73,52.0,93,90,6.93,CA,1594358781
Dikson,73.51,80.55,45.03,79,0,13.27,RU,1594358454
New Boston,42.98,-71.69,75.0,41,0,3.09,US,1594358703
Danielskuil,-28.19,23.54,48.78,59,8,20.45,ZA,1594358864
Pangnirtung,66.15,-65.71,46.2,59,5,0.11,CA,1594358764
Naze,28.37,129.48,87.8,84,75,16.11,JP,1594358678
Maningrida,-12.07,134.27,84.61,55,32,7.96,AU,1594358865
Jamestown,42.1,-79.24,71.01,88,90,9.17,US,1594358617
Sinnamary,5.38,-52.95,78.12,85,92,6.49,GF,1594358866
Bilibino,68.05,166.44,68.36,51,65,8.77,RU,1594358862
Plettenberg Bay,-34.05,23.37,55.02,87,94,7.09,ZA,1594358867
Kaitangata,-46.28,169.85,48.99,70,51,3.0,NZ,1594358867
Carballo,43.21,-8.69,61.0,93,75,6.93,ES,1594358397
São Desidério,-12.36,-44.97,67.87,62,33,4.9,BR,1594358868
Laurel,39.1,-76.85,78.01,94,40,4.65,US,1594358588
Tuktoyaktuk,69.45,-133.04,39.2,100,90,11.41,CA,1594358450
Saint-Philippe,-21.36,55.77,71.6,64,92,31.09,RE,1594358755
Duarte,34.14,-117.98,73.0,63,0,0.6,US,1594358870
Alegrete,-29.78,-55.79,43.45,89,0,5.32,BR,1594358870
Taoudenni,22.68,-3.98,87.04,35,8,9.66,ML,1594358871
Olafsvik,64.89,-23.71,50.7,76,70,8.9,IS,1594358773
Kapaa,22.08,-159.32,80.6,74,40,16.11,US,1594358429
San Patricio,19.22,-104.7,79.14,80,95,2.04,MX,1594358872
Bredasdorp,-34.53,20.04,50.0,93,100,8.05,ZA,1594358455
Albany,42.6,-73.97,78.01,95,1,4.63,US,1594358437
Karpogory,64.0,44.45,62.91,66,42,5.01,RU,1594358873
Boguchany,58.38,97.45,70.05,42,86,7.76,RU,1594358874
Lata,40.16,-8.33,62.01,90,4,1.43,PT,1594358874
Cape Town,-33.93,18.42,51.01,93,75,12.75,ZA,1594358454
Goderich,43.75,-81.72,73.99,90,16,1.01,CA,1594358875
Mar del Plata,-38.0,-57.56,48.99,66,99,16.11,AR,1594358270
Cherskiy,68.75,161.3,64.87,60,61,5.41,RU,1594358876
Te Anau,-45.42,167.72,42.19,86,45,1.03,NZ,1594358876
