City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Angoche,-16.23,39.91,69.75,79,27,9.4,MZ,1594674273
Beyneu,45.32,55.2,88.59,21,17,11.83,KZ,1594674242
Hombourg-Haut,49.12,6.77,64.99,48,83,3.36,FR,1594674371
Hobart,-42.88,147.33,42.8,87,75,4.7,AU,1594674016
Atuona,-9.8,-139.03,79.54,77,24,19.35,PF,1594673992
Mitchell,43.71,-98.03,89.6,52,1,12.75,US,1594674307
Dunedin,-45.87,170.5,43.0,75,48,3.0,NZ,1594673932
Mnogovershinnyy,53.94,139.92,58.5,85,5,1.36,RU,1594674373
Emerald,-23.53,148.17,42.8,75,0,8.05,AU,1594674373
Bluff,-46.6,168.33,39.0,83,89,3.0,NZ,1594674184
Butaritari,3.07,172.79,81.95,75,72,3.15,KI,1594674195
Albany,42.6,-73.97,89.01,42,15,10.11,US,1594674100
Aranda de Duero,41.67,-3.69,64.54,55,6,7.47,ES,1594674376
Oranjemund,-28.55,16.43,54.45,76,26,5.01,NA,1594674376
Barrow,71.29,-156.79,37.4,78,90,11.41,US,1594674202
Qaqortoq,60.72,-46.03,57.2,71,100,8.05,GL,1594674377
Vaini,-21.2,-175.2,73.4,64,20,10.29,TO,1594674106
Flin Flon,54.77,-101.86,75.2,47,75,11.41,CA,1594674381
Mataura,-46.19,168.86,39.0,83,94,3.0,NZ,1594674180
Tiksi,71.69,128.87,47.91,93,99,14.61,RU,1594674113
Ushuaia,-54.8,-68.3,33.8,80,40,21.92,AR,1594674178
Kapaa,22.08,-159.32,77.0,78,75,11.41,US,1594674194
Olafsvik,64.89,-23.71,52.32,78,78,0.74,IS,1594674137
Saskylakh,71.92,114.08,61.2,60,94,8.99,RU,1594673993
Mar del Plata,-38.0,-57.56,46.4,63,40,18.34,AR,1594673962
Lakatoro,-16.1,167.42,71.6,94,75,8.95,VU,1594674386
Adrar,20.5,-10.07,98.91,13,22,1.23,MR,1594674050
Ambon City,-3.7,128.18,77.7,87,97,13.91,ID,1594674387
